name,price,change
DIXON,16675.0,5.43
MAXHEALTH,1128.7,5.19
PHOENIXLTD,1682.3,4.53
COLPAL,2658.8,4.51
MUTHOOTFIN,2272.7,3.14
PRESTIGE,1303.9,2.78
OBEROIRLTY,1699.7,2.63
NHPC,89.88,2.47
GODREJPROP,2095.0,2.46
ASTRAL,1368.6,2.39
TIINDIA,2654.1,2.34
OIL,404.0,2.06
VOLTAS,1344.6,2.02
MARICO,709.15,2.01
LUPIN,2046.7,1.87
POLYCAB,5506.0,1.73
PERSISTENT,4961.0,1.23
HDFCAMC,4509.6,1.12
HINDPETRO,398.45,0.91
MPHASIS,2401.8,0.89
BHARATFORG,1103.6,0.86
IDFCFIRSTB,67.2,0.84
SBICARD,915.8,0.68
MRF,127655.0,0.67
OFSS,8183.0,0.62
BHEL,228.32,0.5
POLICYBZR,1694.0,0.49
PAYTM,881.9,0.43
PIIND,3699.5,0.42
ASHOKLEY,222.67,0.27
ALKEM,5013.6,0.26
COFORGE,6956.0,0.26
SUPREMEIND,3522.2,0.21
NMDC,67.96,0.19
IRCTC,774.85,0.03
SAIL,115.98,-0.01
PETRONET,313.55,-0.02
GMRAIRPORT,86.65,-0.12
TORNTPOWER,1589.5,-0.19
FEDERALBNK,201.64,-0.2
CONCOR,710.1,-0.2
PAGEIND,45330.0,-0.31
SRF,3015.0,-0.47
CUMMINSIND,2896.5,-0.62
YESBANK,18.69,-0.69
BSE,6241.5,-0.69
AUROPHARMA,1187.7,-1.12
IDEA,7.97,-1.24
AUBANK,613.8,-1.57
INDUSTOWER,400.85,-1.63
