name,price,change
ZOMATO,222.5,6.87
BHEL,199.86,6.52
TVSMOTOR,2464.75,5.52
ADANIPOWER,522.75,5.14
CHOLAFIN,1296.55,4.42
SHRIRAMFIN,553.5,4.41
NAUKRI,7445.15,4.15
DIVISLAB,5620.15,3.88
LTIM,5882.75,3.84
ICICIGI,1841.5,3.76
RECLTD,434.85,3.62
BAJAJHLDNG,11426.85,3.6
BEL,267.2,3.47
TATAMOTORS,752.5,3.33
PFC,399.1,3.3
SBILIFE,1460.9,2.92
WIPRO,312.45,2.92
IRFC,141.73,2.84
HAL,3700.5,2.82
INFY,1881.25,2.81
HDFCLIFE,628.35,2.75
BAJAJ-AUTO,8625.85,2.71
TRENT,5597.15,2.6
DLF,745.4,2.57
SIEMENS,5824.55,2.47
ZYDUSLIFE,932.15,2.41
SHREECEM,26651.35,2.38
HAVELLS,1528.2,2.37
COALINDIA,379.45,2.37
JSWSTEEL,937.6,2.34
UNITDSPR,1427.95,2.21
MOTHERSON,141.38,2.2
ULTRACEMCO,11544.85,2.2
JIOFIN,238.3,2.1
NHPC,74.58,2.04
BAJFINANCE,7759.65,2.01
TECHM,1681.15,1.99
M&M,2924.35,1.87
ABB,6110.85,1.87
HINDALCO,584.1,1.79
UNIONBANK,112.54,1.78
GRASIM,2453.65,1.76
SUNPHARMA,1735.35,1.75
KOTAKBANK,1920.35,1.73
TATASTEEL,130.8,1.69
IRCTC,762.4,1.65
HCLTECH,1719.0,1.52
EICHERMOT,5182.9,1.52
INDUSINDBK,948.3,1.51
ADANIPORTS,1096.95,1.5
TCS,4099.8,1.47
ADANIENT,2318.6,1.42
TORNTPHARM,3360.5,1.38
POWERGRID,287.85,1.37
TITAN,3370.75,1.35
TATAPOWER,350.95,1.33
ATGL,623.85,1.27
VEDL,430.6,1.23
BAJAJFINSV,1790.4,1.21
LICI,828.2,1.17
HEROMOTOCO,4072.45,1.14
NESTLEIND,2180.7,1.13
APOLLOHOSP,6784.3,1.12
ONGC,251.4,1.09
ICICIPRULI,606.8,1.08
LT,3449.7,1.05
NTPC,321.25,0.94
PIDILITIND,2891.05,0.94
JINDALSTEL,849.0,0.94
IOC,123.64,0.86
SBIN,758.45,0.8
HDFCBANK,1677.3,0.41
VBL,541.55,0.41
LODHA,1135.5,0.4
ICICIBANK,1251.65,0.38
BANKBARODA,222.59,0.37
INDIGO,4293.9,0.27
DMART,3568.1,0.25
CIPLA,1423.95,0.24
CANBK,91.93,0.12
RELIANCE,1235.5,0.09
ADANIGREEN,987.65,0.04
DRREDDY,1181.2,0.0
AXISBANK,983.4,-0.04
TATACONSUM,960.5,-0.08
HINDUNILVR,2383.95,-0.21
ADANIENSOL,744.7,-0.39
BPCL,257.0,-0.41
BRITANNIA,5037.05,-0.47
ITC,433.35,-0.48
GAIL,165.22,-0.55
GODREJCP,1118.15,-0.68
ASIANPAINT,2223.15,-0.83
BHARTIARTL,1600.45,-1.11
MARUTI,11977.9,-1.2
DABUR,518.1,-1.38
PNB,97.77,-2.01
AMBUJACEM,522.1,-3.88
BOSCHLTD,28155.7,-5.51
JSWENERGY,474.75,-5.8
