name,price,change
VEDL,513.3,4.0
PIIND,3680.0,2.87
BPCL,366.95,2.84
TORNTPOWER,1348.8,2.45
HINDPETRO,485.95,2.09
UPL,732.65,1.74
AMBUJACEM,575.0,1.7
ADANIENSOL,1001.9,1.59
OIL,439.0,1.3
IOC,167.99,1.26
JINDALSTEL,1078.7,1.12
SRF,2962.0,1.07
PIDILITIND,1458.0,0.93
ONGC,257.25,0.74
NHPC,85.44,0.71
JSWENERGY,530.65,0.61
TATAPOWER,407.0,0.52
HINDALCO,851.9,0.48
NMDC,76.04,0.33
APLAPOLLO,1797.0,0.31
RELIANCE,1488.7,0.15
TATASTEEL,183.07,0.13
GRASIM,2895.2,0.12
ADANIPOWER,157.99,0.09
COALINDIA,388.75,0.03
ULTRACEMCO,11931.0,-0.13
JSWSTEEL,1203.3,-0.22
NTPC,335.0,-0.58
ADANIGREEN,1130.3,-0.85
SHREECEM,28030.0,-0.99
