name,price,change
DLF,662.8,6.29
INDHOTEL,836.35,6.06
ADANIPOWER,542.2,4.62
TATAPOWER,378.5,3.86
HEROMOTOCO,3803.9,3.76
EICHERMOT,5529.0,3.33
BAJAJ-AUTO,7995.5,2.92
TVSMOTOR,2586.5,2.91
NAUKRI,6735.5,2.91
M&M,2646.0,2.54
HAVELLS,1571.7,2.53
BHARTIARTL,1798.8,2.4
ETERNAL,222.23,2.32
MARUTI,11855.0,2.21
INDIGO,5256.0,2.04
TRENT,4877.0,2.02
DMART,4212.7,1.97
APOLLOHOSP,6905.0,1.83
UNITDSPR,1501.7,1.68
TITAN,3273.4,1.19
ASIANPAINT,2415.7,0.92
VBL,550.6,0.89
COLPAL,2513.7,0.88
BRITANNIA,5391.3,0.77
TATACONSUM,1103.4,0.5
NESTLEIND,2367.9,0.28
HINDUNILVR,2361.5,-0.2
ITC,420.4,-0.27
GODREJCP,1216.3,-0.6
MAXHEALTH,1074.1,-1.4
