name,price,change
AEGISLOG,760.45,1.39
ADANIPOWER,500.65,0.57
ADANIGREEN,844.55,0.46
ATGL,581.7,0.46
POWERGRID,256.3,0.22
RELIANCE,1205.0,0.08
CASTROLIND,217.5,0.08
PETRONET,291.15,-0.12
GSPL,278.65,-0.32
ADANIENSOL,666.35,-0.5
THERMAX,3177.15,-0.73
COALINDIA,357.45,-1.02
NTPC,315.4,-1.04
SJVN,88.55,-1.09
CESC,131.64,-1.21
TORNTPOWER,1306.5,-1.21
JPPOWER,13.8,-1.22
ONGC,229.3,-1.59
GAIL,158.14,-1.62
HINDPETRO,304.5,-1.73
IOC,116.5,-1.81
JSWENERGY,458.35,-1.9
NHPC,74.45,-2.05
OIL,364.65,-2.08
IGL,194.0,-2.11
BPCL,243.15,-2.13
MGL,1289.75,-2.23
TATAPOWER,342.8,-2.48
POWERINDIA,11480.0,-2.69
CGPOWER,582.1,-2.74
NLCINDIA,205.8,-2.82
SCHNEIDER,637.0,-2.9
SIEMENS,4693.35,-2.98
GVT&D,1390.5,-3.04
ABB,5130.3,-3.23
BHEL,187.4,-3.7
GUJGASLTD,379.45,-3.79
TRITURBINE,527.0,-4.19
SUZLON,52.06,-4.62
INOXWIND,155.45,-7.86
