name,price,change
INDIGO,5847.5,1.87
POWERGRID,291.55,0.9
SHREECEM,30790.0,0.65
CGPOWER,664.45,0.62
AMBUJACEM,619.1,0.2
ULTRACEMCO,12273.0,0.04
DLF,787.7,-0.14
ADANIPORTS,1391.7,-0.16
LT,3659.0,-0.17
APOLLOHOSP,7437.5,-0.17
ONGC,241.26,-0.23
CUMMINSIND,3573.2,-0.24
NTPC,337.9,-0.27
GRASIM,2747.2,-0.41
INDHOTEL,741.65,-0.44
ASHOKLEY,121.2,-0.57
SIEMENS,3052.2,-0.63
TATAPOWER,398.6,-0.69
ADANIGREEN,1002.7,-0.69
BHARTIARTL,1918.8,-0.71
GODREJPROP,2113.0,-0.77
MAXHEALTH,1254.5,-0.8
RELIANCE,1397.7,-0.88
MOTHERSON,97.96,-0.97
GAIL,178.32,-1.25
IOC,146.25,-1.87
BHARATFORG,1166.0,-1.9
HINDPETRO,417.9,-1.96
BPCL,330.15,-2.05
INDUSTOWER,370.35,-3.5
