name,price,change
TORNTPHARM,3592.4,2.06
ZYDUSLIFE,975.75,0.46
ICICIGI,1908.1,0.06
DIVISLAB,6615.0,-0.05
DLF,828.3,-0.08
PIDILITIND,2903.0,-0.17
DABUR,510.9,-0.32
VBL,484.25,-0.36
HYUNDAI,2086.1,-0.41
ICICIPRULI,619.75,-0.5
TATAPOWER,398.15,-0.64
GODREJCP,1216.5,-0.65
ABB,5660.0,-0.68
JINDALSTEL,993.6,-0.68
BOSCHLTD,37645.0,-0.7
GAIL,186.65,-0.7
AMBUJACEM,615.0,-0.87
BRITANNIA,5613.5,-1.05
BANKBARODA,244.2,-1.08
RECLTD,400.5,-1.09
INDIGO,5779.5,-1.1
LTIM,5146.0,-1.15
PFC,416.75,-1.28
SIEMENS,3086.7,-1.35
DMART,3966.5,-1.36
VEDL,445.1,-1.38
HAVELLS,1530.1,-1.42
IOC,149.06,-1.43
ADANIPOWER,577.25,-1.45
UNITDSPR,1315.6,-1.47
INDHOTEL,742.9,-1.47
NAUKRI,1435.0,-1.52
JSWENERGY,524.2,-1.57
BPCL,335.9,-1.61
PNB,108.85,-1.64
TVSMOTOR,2750.9,-1.67
CANBK,111.57,-1.71
CGPOWER,668.1,-1.8
IRFC,133.14,-1.85
MOTHERSON,101.11,-1.88
BAJAJHLDNG,13881.0,-2.0
LODHA,1298.5,-2.08
SHREECEM,31070.0,-2.13
HAL,4581.0,-2.13
BAJAJHFL,117.02,-2.21
SWIGGY,410.0,-2.21
ADANIENSOL,829.55,-2.3
ADANIGREEN,992.7,-2.74
LICI,891.6,-2.77
CHOLAFIN,1489.8,-3.97
