name,price,change
LINDEINDIA,6867.0,5.28
KEI,3758.9,5.16
POLYCAB,6289.5,4.82
DIXON,14571.0,3.73
BEL,420.9,3.1
ESCORTS,3323.3,2.94
KPRMILL,1128.2,2.92
MAZDOCK,3342.6,2.65
COCHINSHIP,2231.1,2.38
HAVELLS,1563.1,1.93
HINDALCO,661.4,1.89
BHARATFORG,1295.8,1.37
BHEL,253.8,1.34
JINDALSTEL,910.7,1.3
APLAPOLLO,1792.1,1.26
HINDCOPPER,251.51,1.14
PAGEIND,45430.0,1.12
HAL,5028.2,1.11
IOC,139.92,0.92
AIAENG,3299.5,0.91
UPL,638.85,0.84
MRF,135555.0,0.84
CROMPTON,347.45,0.83
PIIND,4152.2,0.74
HONAUT,37785.0,0.73
DIVISLAB,6636.0,0.67
ASHOKLEY,236.67,0.65
VEDL,449.85,0.62
EICHERMOT,5552.5,0.5
HINDZINC,440.55,0.44
SUPREMEIND,4482.0,0.36
SOLARINDS,17056.0,0.35
TATASTEEL,152.43,0.3
HSCL,440.75,0.28
AUROPHARMA,1099.7,0.23
COROMANDEL,2320.1,0.18
CASTROLIND,207.63,0.17
BLUESTARCO,1611.7,0.11
SRF,3032.5,0.08
VOLTAS,1294.2,0.02
BPCL,313.45,-0.02
CIPLA,1499.1,-0.04
TORNTPHARM,3165.5,-0.05
PIDILITIND,2951.7,-0.15
SUNPHARMA,1662.5,-0.16
ALKEM,4760.0,-0.28
FLUOROCHEM,3373.4,-0.3
CUMMINSIND,3260.9,-0.32
HYUNDAI,1999.6,-0.33
EXIDEIND,378.3,-0.51
ZYDUSLIFE,952.1,-0.52
DRREDDY,1317.9,-0.56
RELIANCE,1456.8,-0.64
SUZLON,62.79,-0.7
CGPOWER,683.3,-0.72
MARUTI,12699.0,-0.72
TATAMOTORS,671.25,-0.73
ABB,5923.5,-0.75
TEJASNET,695.95,-0.79
DEEPAKNTR,1878.6,-0.84
JSWSTEEL,997.0,-0.85
TATACHEM,905.5,-0.91
BALKRISIND,2398.2,-0.92
ENRIN,2615.8,-0.95
BAJAJ-AUTO,8286.5,-1.01
LUPIN,1927.2,-1.07
ABREL,2398.0,-1.11
TVSMOTOR,2778.6,-1.19
KAYNES,5782.5,-1.4
MOTHERSON,148.05,-1.43
M&M,3135.0,-1.55
TIINDIA,2868.7,-1.97
HEROMOTOCO,4253.1,-1.97
SONACOMS,477.35,-1.97
BOSCHLTD,31575.0,-2.21
SIEMENS,3091.6,-3.81
ASTRAL,1498.7,-3.84
