name,price,change
GREENPANEL,322.15,18.09
JISLJALEQS,56.83,9.65
GREENPLY,320.4,9.07
ARVIND,335.85,7.42
IXIGO,321.8,6.93
DBL,520.6,6.23
STAR,911.0,4.42
GAEL,112.65,4.38
MTARTECH,1532.1,4.14
ABDL,529.15,4.09
CHOICEIN,816.1,3.74
EMIL,153.82,3.73
NESCO,1578.1,3.53
PAISALO,38.02,2.95
ICIL,293.09,2.94
ZYDUSWELL,2551.9,2.61
BALUFORGE,678.55,2.61
INOXGREEN,172.06,2.43
ACI,712.8,2.39
MIDHANI,388.85,2.22
PNGJL,600.4,2.21
BBL,3072.0,2.1
RESPONIND,200.17,2.0
CELLO,626.4,1.84
GARFIBRES,781.5,1.78
PRINCEPIPE,326.7,1.78
GULFOILLUB,1313.1,1.65
DCXINDIA,268.75,1.61
OPTIEMUS,635.05,1.6
SHAILY,2282.8,1.6
MSTCLTD,537.75,1.6
KRBL,447.15,1.58
FIEMIND,2163.6,1.57
ASHOKA,188.26,1.49
TIRUMALCHM,308.9,1.48
PARKHOTELS,159.79,1.43
GHCL,559.6,1.41
AARTIPHARM,912.45,1.34
GRWRHITECH,3364.6,1.34
RAJESHEXPO,202.49,1.25
TARC,157.83,1.22
AVL,495.55,1.2
RBA,81.01,1.14
FDC,464.9,1.08
CEIGALL,273.15,1.07
INDIGOPNTS,1143.5,1.05
ACUTAAS,1472.8,0.99
KSL,814.25,0.99
LUXIND,1328.1,0.99
VENUSPIPES,1378.6,0.95
NAZARA,1088.3,0.95
PRSMJOHNSN,149.92,0.92
IONEXCHANG,417.4,0.91
TVSSCS,133.87,0.9
IMFA,1020.25,0.88
AWFIS,573.55,0.87
NFL,98.63,0.86
GANECOS,1336.7,0.82
DCBBANK,126.55,0.81
SULA,287.67,0.81
EPIGRAL,1798.7,0.79
TEAMLEASE,1873.2,0.76
BALAMINES,1506.3,0.72
BLACKBUCK,624.25,0.69
BOROLTD,351.2,0.67
ORIENTCEM,223.07,0.67
DHANI,63.69,0.63
TRANSRAILL,793.8,0.63
SOUTHBANK,29.01,0.62
BORORENEW,585.5,0.58
TEXRAIL,142.04,0.58
WEBELSOLAR,1303.2,0.55
THOMASCOOK,177.61,0.54
TIIL,2527.0,0.51
RTNPOWER,12.29,0.49
SANOFICONR,5161.0,0.46
STLTECH,115.11,0.45
NOCIL,187.01,0.42
SPARC,144.54,0.42
ROSSARI,636.0,0.4
GOKEX,779.85,0.39
IFBIND,1508.3,0.39
JINDWORLD,36.65,0.38
HERITGFOOD,485.75,0.38
NEOGEN,1592.8,0.34
BOMDYEING,188.86,0.34
AARTIDRUGS,511.35,0.27
GANESHHOUC,882.05,0.27
CHEMPLASTS,434.45,0.27
HEIDELBERG,219.53,0.26
GRINFRA,1293.8,0.25
ORISSAMINE,4886.0,0.23
SHILPAMED,836.65,0.22
CSBBANK,368.85,0.22
SEQUENT,183.52,0.19
FINEORG,4842.5,0.17
PTC,175.27,0.17
INFIBEAM,16.09,0.12
VARROC,610.05,0.11
YATHARTH,798.9,0.11
GREAVESCOT,214.9,0.1
SYMPHONY,942.15,0.1
AVALON,961.8,0.1
TIPSMUSIC,601.3,0.09
SANSERA,1415.9,0.04
KTKBANK,178.75,0.03
TI,471.35,0.02
HIKAL,259.9,0.02
SANOFI,5077.0,0.0
PCJEWELLER,13.15,0.0
ADVENZYMES,340.3,0.0
JCHAC,1739.0,-0.01
MEDPLUS,830.9,-0.02
WELENT,477.1,-0.02
SHARDACROP,893.9,-0.02
