name,price,change
UPL,711.35,6.95
ENDURANCE,2645.0,6.8
ABCAPITAL,262.75,4.49
SAIL,125.26,4.28
LICHSGFIN,590.25,3.51
IDEA,6.83,3.48
TATAINVEST,7009.5,3.35
HUDCO,217.45,3.34
NATIONALUM,186.38,3.14
NMDC,72.65,3.11
TIINDIA,2889.5,2.89
NLCINDIA,240.4,2.76
JSL,725.25,2.72
APARINDS,9020.5,2.71
POWERINDIA,21065.0,2.51
BHARATFORG,1174.7,2.5
BANDHANBNK,167.26,2.35
INDIANB,635.7,2.33
SRF,3053.0,2.27
MUTHOOTFIN,2648.2,2.14
EXIDEIND,387.35,2.14
BLUESTARCO,1732.5,2.09
SOLARINDS,14090.0,2.05
BSE,2460.7,2.05
LLOYDSME,1474.4,1.99
IGL,205.51,1.97
GMRAIRPORT,91.15,1.93
JUBLFOOD,654.3,1.92
ASHOKLEY,122.61,1.88
BHEL,235.72,1.78
NYKAA,213.79,1.78
ABFRL,75.05,1.72
IDFCFIRSTB,68.73,1.7
PREMIERENE,1026.7,1.62
KALYANKJIL,592.3,1.62
PRESTIGE,1622.3,1.62
GODREJPROP,2082.7,1.57
BANKINDIA,110.95,1.52
ABBOTINDIA,34105.0,1.52
IREDA,147.89,1.51
MRPL,125.39,1.49
BDL,1588.4,1.48
HDFCAMC,5696.0,1.44
SONACOMS,443.75,1.42
AUROPHARMA,1094.9,1.4
AUBANK,751.4,1.4
RVNL,350.25,1.39
MSUMI,38.03,1.36
MAZDOCK,2758.7,1.36
HINDZINC,421.0,1.35
OFSS,8490.5,1.34
JKCEMENT,6770.0,1.32
MANKIND,2600.0,1.31
POLYCAB,6781.5,1.25
COCHINSHIP,1739.3,1.2
ATGL,602.25,1.15
PERSISTENT,5116.5,1.09
ASTRAL,1418.3,1.08
COFORGE,1724.4,1.06
CRISIL,5269.5,1.03
IRB,44.78,1.02
OLAELEC,40.95,0.99
GLENMARK,2088.1,0.98
OBEROIRLTY,1604.3,0.94
VOLTAS,1329.7,0.93
SUPREMEIND,4288.7,0.93
BHARTIHEXA,1861.2,0.9
PAYTM,1086.0,0.89
CONCOR,578.25,0.81
NTPCGREEN,105.35,0.78
ESCORTS,3314.7,0.77
LUPIN,1881.6,0.77
DIXON,16976.0,0.76
IRCTC,724.5,0.74
UBL,1939.0,0.73
HINDPETRO,406.65,0.71
MAHABANK,54.64,0.68
YESBANK,18.72,0.65
PHOENIXLTD,1461.3,0.63
BERGEPAINT,570.35,0.61
DALBHARAT,2217.1,0.58
UNIONBANK,128.82,0.56
PETRONET,282.3,0.55
SBICARD,808.3,0.54
SJVN,92.83,0.52
MOTILALOFS,926.45,0.52
SUNTV,563.8,0.51
INDUSTOWER,346.8,0.49
GODREJIND,1120.1,0.48
JSWINFRA,305.35,0.43
MAXHEALTH,1250.7,0.38
NAM-INDIA,806.75,0.37
FLUOROCHEM,3505.9,0.3
LINDEINDIA,6594.5,0.3
MFSL,1476.8,0.29
SYNGENE,705.25,0.28
FORTIS,861.4,0.25
MARICO,712.85,0.23
KPITTECH,1209.2,0.22
NHPC,83.36,0.14
BIOCON,383.55,0.12
PATANJALI,1863.0,0.11
BALKRISIND,2578.4,0.1
TORNTPOWER,1289.4,0.09
GLAND,1979.5,0.05
UNOMINDA,1044.4,0.05
VMM,141.09,0.01
FEDERALBNK,195.99,-0.04
GICRE,383.65,-0.04
WAAREEENER,3102.3,-0.05
APOLLOTYRE,440.5,-0.08
COLPAL,2256.1,-0.08
CUMMINSIND,3565.2,-0.1
AWL,257.0,-0.12
360ONE,1051.0,-0.14
KEI,3810.0,-0.17
LTF,200.69,-0.22
ACC,1789.5,-0.28
LTTS,4260.3,-0.33
APLAPOLLO,1588.6,-0.35
ALKEM,4875.0,-0.49
STARHEALTH,433.4,-0.49
TATATECH,690.45,-0.5
PAGEIND,46565.0,-0.52
MPHASIS,2742.8,-0.53
DEEPAKNTR,1809.0,-0.59
TATAELXSI,6018.5,-0.59
COROMANDEL,2573.3,-0.66
IPCALAB,1440.2,-0.69
MRF,144740.0,-0.8
POLICYBZR,1765.8,-0.85
KPRMILL,1058.1,-0.85
MEDANTA,1325.8,-0.87
EMAMILTD,613.85,-0.88
3MINDIA,30630.0,-0.89
SUZLON,65.31,-0.97
AIAENG,3064.1,-0.99
OIL,429.45,-1.06
M&MFIN,255.7,-1.08
NIACL,185.9,-1.5
TATACOMM,1641.7,-1.53
GUJGASLTD,420.9,-1.56
AJANTPHARM,2648.2,-1.74
SCHAEFFLER,4027.3,-1.79
GLAXO,2881.6,-1.87
SUNDARMFIN,4479.9,-1.94
PIIND,4087.0,-2.46
GVT&D,2759.8,-3.61
HONAUT,37275.0,-3.74
THERMAX,3602.5,-4.66
