name,price,change
GODREJPROP,2214.4,2.45
IDFCFIRSTB,66.17,1.97
IGL,195.62,1.57
MAZDOCK,3105.4,1.56
PERSISTENT,5401.5,1.5
NATIONALUM,158.8,1.49
SONACOMS,487.4,1.3
PIIND,3681.0,1.12
UPL,677.0,1.06
RVNL,353.45,1.04
HINDPETRO,382.65,1.04
NMDC,65.39,0.93
COFORGE,7372.0,0.92
HDFCAMC,4410.0,0.81
EXIDEIND,354.5,0.78
SBICARD,879.65,0.7
TATAELXSI,5803.0,0.64
IRB,45.84,0.53
BANKINDIA,115.65,0.43
ABCAPITAL,196.95,0.3
GMRAIRPORT,87.43,0.28
VMM,118.8,0.27
GLENMARK,1384.1,0.21
APOLLOTYRE,472.85,0.2
CONCOR,674.75,0.16
NTPCGREEN,100.69,0.14
DIXON,16468.0,0.1
MRF,134615.0,0.08
LICHSGFIN,601.4,0.07
UNIONBANK,125.78,0.0
BHARATFORG,1103.8,-0.04
CUMMINSIND,2893.4,-0.07
ATGL,599.45,-0.12
SJVN,93.91,-0.13
M&MFIN,261.7,-0.13
LTF,163.95,-0.13
MAHABANK,50.58,-0.16
YESBANK,17.68,-0.23
HUDCO,222.93,-0.24
MPHASIS,2462.9,-0.25
TIINDIA,2888.9,-0.33
NYKAA,193.62,-0.39
IRCTC,748.55,-0.39
PREMIERENE,977.55,-0.45
BHEL,225.71,-0.5
OFSS,8678.0,-0.5
MUTHOOTFIN,2157.9,-0.55
AUBANK,674.75,-0.57
SUZLON,56.05,-0.62
KPITTECH,1245.6,-0.64
NHPC,85.23,-0.65
OIL,408.0,-0.67
BSE,6315.5,-0.68
PATANJALI,1892.9,-0.69
MFSL,1295.9,-0.7
WAAREEENER,2585.0,-0.75
POLYCAB,5477.5,-0.77
BIOCON,319.3,-0.78
SAIL,112.8,-0.8
PAGEIND,45235.0,-0.83
OLAELEC,48.28,-0.84
IDEA,7.06,-0.84
PETRONET,310.8,-0.94
ALKEM,5064.0,-1.02
SOLARINDS,13032.0,-1.06
TATATECH,650.6,-1.1
INDIANB,559.5,-1.11
SRF,2975.2,-1.12
MAXHEALTH,1085.7,-1.14
ACC,1865.0,-1.22
ESCORTS,3218.7,-1.24
IREDA,164.95,-1.26
PRESTIGE,1357.1,-1.31
JUBLFOOD,705.25,-1.42
TATACOMM,1568.5,-1.44
MARICO,699.7,-1.51
BHARTIHEXA,1663.4,-1.52
POLICYBZR,1599.2,-1.61
AUROPHARMA,1209.1,-1.63
KALYANKJIL,507.55,-1.74
ASTRAL,1321.2,-1.78
COLPAL,2539.7,-1.84
COCHINSHIP,1558.4,-2.07
MOTILALOFS,639.05,-2.1
BDL,1497.2,-2.12
APLAPOLLO,1584.6,-2.17
SUPREMEIND,3461.6,-2.19
LUPIN,2049.5,-2.2
BANDHANBNK,161.92,-2.23
HINDZINC,428.8,-2.37
VOLTAS,1201.9,-2.77
TORNTPOWER,1496.4,-2.77
PAYTM,839.85,-2.88
OBEROIRLTY,1594.2,-2.89
ASHOKLEY,218.63,-2.96
ABFRL,255.45,-3.07
MANKIND,2385.0,-3.26
FEDERALBNK,188.65,-4.08
INDUSTOWER,381.8,-6.47
PHOENIXLTD,1530.8,-8.03
