name,price,change
CUMMINSIND,3635.7,1.23
BSE,2387.6,0.86
COLPAL,2241.0,0.47
HDFCAMC,5681.0,0.13
MARICO,714.65,-0.2
VOLTAS,1314.2,-0.21
MAXHEALTH,1271.1,-0.22
HINDPETRO,401.4,-0.26
INDUSTOWER,340.95,-0.55
AUROPHARMA,1072.3,-0.65
OFSS,8517.0,-0.68
LUPIN,1851.8,-0.68
YESBANK,18.73,-0.69
POLICYBZR,1735.5,-0.72
ASHOKLEY,120.73,-1.02
POLYCAB,6825.0,-1.45
IDEA,6.79,-1.74
BHARATFORG,1139.4,-1.82
MPHASIS,2654.1,-1.89
DIXON,16513.0,-1.99
SRF,2968.9,-2.43
GODREJPROP,2061.5,-2.52
PERSISTENT,5047.0,-2.78
BHEL,239.83,-3.39
COFORGE,1638.3,-4.01
