name,price,change
ABB,5440.5,2.89
POWERINDIA,15080.0,2.82
SUVENPHAR,1077.8,1.66
LINDEINDIA,6083.5,0.93
BRITANNIA,5436.0,0.83
GLAND,1426.0,0.73
SIEMENS,2857.2,0.66
ASHOKLEY,221.62,0.6
AMBUJACEM,527.45,0.58
ABBOTINDIA,30165.0,0.53
CASTROLIND,199.84,0.44
TIMKEN,2791.3,0.37
UBL,2174.3,0.25
SCHAEFFLER,3701.5,0.24
VEDL,407.9,0.2
HYUNDAI,1734.1,0.06
COLPAL,2550.5,0.0
BOSCHLTD,30000.0,-0.03
UNITDSPR,1531.2,-0.39
NESTLEIND,2325.4,-0.65
HINDUNILVR,2332.9,-0.93
3MINDIA,29050.0,-0.99
MARUTI,12250.0,-1.15
SKFINDIA,3927.0,-1.21
CUMMINSIND,2736.3,-1.24
JBCHEPHARM,1524.6,-1.26
OFSS,7993.5,-1.99
ESCORTS,3130.4,-2.03
HONAUT,34185.0,-2.17
CRISIL,4870.2,-2.8
