name,price,change
IPCALAB,1339.0,1.67
CIPLA,1503.3,1.03
GRANULES,517.0,0.47
TORNTPHARM,3603.2,0.46
SUNPHARMA,1594.3,0.31
ALKEM,5425.0,0.3
JBCHEPHARM,1709.7,0.27
BIOCON,341.0,0.25
LAURUSLABS,841.8,0.1
NATCOPHARM,795.55,0.02
DIVISLAB,5689.5,-0.14
PPLPHARMA,191.16,-0.25
GLENMARK,1952.7,-0.28
GLAND,1991.6,-0.32
AUROPHARMA,1083.9,-0.51
AJANTPHARM,2406.3,-0.76
DRREDDY,1223.7,-0.88
ZYDUSLIFE,981.9,-1.03
MANKIND,2435.7,-1.07
LUPIN,1911.3,-1.13
ABBOTINDIA,29290.0,-1.26
WOCKPHARMA,1516.0,-3.09
