name,price,change
HCLTECH,1705.4,2.24
TECHM,1645.5,2.15
WIPRO,260.06,2.04
INFY,1621.4,1.59
GAIL,198.43,1.41
MAXHEALTH,1197.1,1.23
HDFCLIFE,770.2,1.02
ETERNAL,258.1,0.95
ICICIBANK,1434.4,0.81
NTPC,341.9,0.8
SBILIFE,1798.0,0.7
TCS,3487.0,0.7
BAJAJFINSV,2008.5,0.52
JIOFIN,304.2,0.46
LTIM,5408.5,0.44
DMART,4097.8,0.44
INDUSINDBK,848.3,0.38
SBIN,820.0,0.36
TATAPOWER,414.5,0.31
BHARTIARTL,1860.0,0.16
INDIGO,5603.5,0.08
AXISBANK,1233.2,0.03
APOLLOHOSP,6914.5,-0.06
KOTAKBANK,2146.7,-0.2
HDFCBANK,1959.6,-0.29
BAJFINANCE,9462.0,-0.37
NAUKRI,1528.0,-0.45
SHRIRAMFIN,694.35,-0.86
ADANIPORTS,1460.0,-0.94
POWERGRID,296.9,-1.38
