name,price,change
NATCOPHARM,867.15,1.39
RKFORGE,572.8,1.36
RPOWER,45.18,1.01
BRIGADE,952.9,0.92
LALPATHLAB,3323.3,0.45
AMBER,7254.0,0.35
CASTROLIND,201.55,0.33
BSOFT,369.75,0.04
KAYNES,6195.0,-0.04
AFFLE,1893.9,-0.04
HINDCOPPER,230.91,-0.12
CROMPTON,324.05,-0.28
KFINTECH,1050.0,-0.39
NEULANDLAB,13115.0,-0.43
AEGISLOG,694.7,-0.63
LAURUSLABS,862.0,-0.77
ARE&M,967.7,-0.84
RAMCOCEM,1034.3,-0.88
IEX,139.76,-1.06
HSCL,450.7,-1.08
ASTERDM,594.45,-1.09
PEL,1122.6,-1.1
KEC,809.05,-1.17
GESHIP,934.7,-1.34
PPLPHARMA,186.3,-1.62
SONATSOFTW,358.2,-1.66
FIVESTAR,552.75,-1.77
CAMS,3657.7,-1.84
NAVINFLUOR,4707.0,-1.86
TEJASNET,589.85,-1.86
TATACHEM,917.8,-1.87
GSPL,290.7,-1.89
NCC,207.93,-1.91
DELHIVERY,469.15,-1.95
NBCC,98.9,-1.97
PNBHOUSING,767.05,-2.02
FSL,346.75,-2.03
CYIENT,1176.6,-2.16
RADICO,2840.0,-2.22
ABREL,1747.2,-2.3
AARTIIND,376.95,-2.34
CDSL,1452.0,-2.69
HFCL,69.71,-2.94
IIFL,436.2,-3.14
ZENSARTECH,778.2,-3.28
ANGELONE,2259.4,-3.41
INOXWIND,136.99,-3.55
MCX,7401.5,-3.78
CESC,154.17,-4.62
POONAWALLA,429.6,-5.1
