name,price,change
WELSPUNLIV,125.53,9.87
IGIL,373.55,7.11
ZENSARTECH,825.3,6.1
POONAWALLA,450.45,4.54
ZENTEC,1502.6,4.5
CYIENT,1228.9,4.0
HSCL,468.4,3.97
TRIDENT,29.16,3.74
BRIGADE,935.9,3.49
TITAGARH,908.85,2.82
NBCC,105.52,2.8
ANANTRAJ,532.85,2.74
IDBI,94.76,2.71
NEULANDLAB,14803.0,2.56
GRSE,2412.9,2.55
BSOFT,382.7,2.37
HBLENGINE,867.15,2.17
NH,1782.4,2.13
AFCONS,447.1,1.95
CESC,161.11,1.93
SWANCORP,454.6,1.92
GODIGIT,356.5,1.92
RADICO,2810.0,1.9
INOXWIND,149.22,1.68
SAGILITY,44.27,1.68
SIGNATURE,1127.7,1.66
IIFL,447.5,1.6
LALPATHLAB,3223.7,1.5
KFINTECH,1115.9,1.5
BLS,367.5,1.41
FSL,356.35,1.39
CHAMBLFERT,545.1,1.34
IEX,144.74,1.32
MGL,1287.0,1.31
GESHIP,987.75,1.29
ARE&M,1034.45,1.17
ATUL,6419.0,1.09
PGEL,572.3,1.07
AADHARHFC,517.8,1.05
PNBHOUSING,808.8,1.05
IFCI,53.51,1.04
FIVESTAR,535.3,1.03
CAMS,3891.1,1.0
PCBL,388.65,0.99
HFCL,70.68,0.88
KARURVYSYA,206.49,0.82
NEWGEN,884.95,0.79
SONATSOFTW,372.4,0.78
NCC,207.26,0.76
CASTROLIND,198.87,0.75
ABREL,1793.6,0.74
JBMA,631.35,0.73
AMBER,7869.0,0.67
RKFORGE,584.85,0.63
TEJASNET,591.0,0.57
PPLPHARMA,199.2,0.52
TRITURBINE,515.95,0.52
BEML,4064.7,0.46
RAILTEL,365.9,0.4
REDINGTON,244.17,0.36
NATCOPHARM,844.25,0.36
BATAINDIA,1239.7,0.32
DATAPATTNS,2568.6,0.3
RPOWER,46.76,0.28
HINDCOPPER,244.94,0.25
AARTIIND,388.9,0.23
ASTERDM,642.35,0.21
TTML,57.08,0.16
NAVINFLUOR,4777.7,0.15
MCX,7619.0,0.1
DELHIVERY,464.35,0.09
NUVAMA,6378.0,0.08
INDIAMART,2576.4,0.06
ANGELONE,2336.6,0.03
CDSL,1548.8,-0.01
AEGISLOG,701.9,-0.01
KAYNES,7097.5,-0.04
TATACHEM,945.0,-0.06
ITI,308.8,-0.06
JWL,319.2,-0.2
WELCORP,883.35,-0.2
RITES,269.23,-0.24
PEL,1068.3,-0.36
IRCON,172.75,-0.46
DEVYANI,185.36,-0.52
CREDITACC,1296.7,-0.64
LAURUSLABS,896.4,-0.65
PVRINOX,1121.2,-0.73
KPIL,1260.0,-0.83
RAMCOCEM,1045.9,-0.89
KEC,870.3,-1.01
GSPL,299.6,-1.11
SHYAMMETL,919.05,-1.19
MANAPPURAM,288.0,-1.23
GODFRYPHLP,10787.0,-1.26
CROMPTON,317.8,-1.29
ACE,1125.9,-1.53
AFFLE,2028.4,-2.02
IKS,1536.2,-2.57
FIRSTCRY,390.9,-4.51
