name,price,change
ADANIPORTS,1267.1,4.16
BAJFINANCE,8862.5,2.64
INDUSINDBK,853.0,1.74
SBIN,800.0,1.44
RELIANCE,1422.4,1.24
MARUTI,12406.0,1.22
TATAMOTORS,652.0,1.2
HINDALCO,632.1,1.19
ITC,430.25,1.05
TATASTEEL,141.18,0.79
ETERNAL,234.29,0.76
HCLTECH,1576.5,0.57
WIPRO,242.87,0.57
INFY,1506.8,0.45
ICICIBANK,1432.4,0.38
BAJAJFINSV,1958.0,0.33
ULTRACEMCO,11644.0,0.03
HDFCBANK,1925.0,0.0
SBILIFE,1764.7,-0.06
DRREDDY,1182.9,-0.08
M&M,2926.2,-0.09
SUNPHARMA,1829.4,-0.16
COALINDIA,384.4,-0.23
AXISBANK,1182.2,-0.24
TCS,3444.7,-0.26
ADANIENT,2294.2,-0.31
APOLLOHOSP,6954.5,-0.32
LT,3329.8,-0.34
ONGC,243.42,-0.42
TECHM,1496.3,-0.45
TRENT,5148.0,-0.47
JIOFIN,258.8,-0.62
ASIANPAINT,2409.8,-0.66
BHARTIARTL,1851.9,-0.68
GRASIM,2718.3,-0.7
TATACONSUM,1156.8,-0.77
HINDUNILVR,2323.9,-0.78
BEL,311.35,-0.88
KOTAKBANK,2185.2,-1.04
POWERGRID,303.95,-1.14
TITAN,3341.0,-1.15
SHRIRAMFIN,604.2,-1.23
CIPLA,1525.6,-1.58
NTPC,348.45,-1.72
NESTLEIND,2337.7,-2.11
HDFCLIFE,727.75,-2.14
HEROMOTOCO,3740.5,-2.27
EICHERMOT,5437.5,-2.33
BAJAJ-AUTO,7836.5,-2.41
JSWSTEEL,973.2,-5.5
